Component,References,Value,Footprint,Quantity Per PCB,Digikey PN,PN,Part Description,Config
41,SW2-SW3,Button,PTS645_SMT_SW,2,CKN9088CT-ND,PTS645SL50SMTR92 LFS,SWITCH TACTILE SPST-NO 0.05A 12V,
42,SW1,GW12LJPCF,SW_NKK_GW12LJP,1,360-2112-ND,GW12LJPCF,SWITCH ROCKER SPDT 0.4VA 28V,
43,U18-U20,ACPL-024L,SOIC-8_3.9x4.9mm_P1.27mm,3,516-3158-5-ND,ACPL-024L-000E,OPTOISO 3.75KV 2CH PUSH PULL 8SO,
44,U13,ACPL-C870,SSO-8_6.8x5.9mm_P1.27mm_Clearance8mm,1,516-2578-5-ND,ACPL-C87B-000E,IC OPAMP ISOLATION 1 CIRCUIT 8SO,
45,U14,AD8030,SOIC-8_3.9x4.9mm_P1.27mm,1,AD8030ARZ-ND,AD8030ARZ,IC OPAMP GP 2 CIRCUIT 8SOIC,
46,U4,AD8040,SOIC-14_3.9x8.7mm_P1.27mm,1,AD8040ARZ-ND,AD8040ARZ,IC OPAMP GP 4 CIRCUIT 14SOIC,
47,U3,ADG836YRM,MSOP-10_3x3mm_P0.5mm,1,ADG836YRMZ-ND,ADG836YRMZ,IC SWITCH DUAL SPDT 10MSOP,
48,U15,AGH03P-5,AGH03P,1,1470-3220-ND,AGH03P-5,DC DC CONVERTER 300V 1.5W,
49,U17,ATSAMG55J19A-AU,LQFP-64_10x10mm_P0.5mm,1,ATSAMG55J19A-AU-ND,ATSAMG55J19A-AU,IC MCU 32BIT 512KB FLASH 64LQFP,
50,U1-U2,HV507,PQFP-80,2,HV507PG-G-ND,HV507PG-G,IC 64BIT SRL PARALLEL 325V 80QFP,
51,U11,LDL1117S33R,SOT-223-3_TabPin2,1,ADP3338AKCZ-3.3RL7CT-ND‎,ADP3338AKCZ-3.3RL7‎,IC REG LINEAR 3.3V 1A SOT223-3,
52,U16,LM4041L,SOT-23,1,LM4041EEM3-1.2/NOPBCT-ND,LM4041EEM3-1.2,IC VREF SHUNT 2% SOT23-3,
53,U12,LP2950CDT-5.0RKG,TO-252-2,1,497-1564-1-ND,‎LM2931ADT50R‎,IC REG LINEAR 5V 100MA DPAK,
54,U10,LTC4412xS6,TSOT-23-6,1,LTC4412ES6#TRPBFCT-ND,LTC4412ES6,IC OR CTRLR SRC SELECT TSOT23-6,
55,U22,MAX1044,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX1044CSA+TCT-ND,MAX1044CSA+T,IC REG CHARG PUMP INV 20MA 8SOIC,
56,U6-U7 U9 U21,MAX31865AA,MAX31865_SSOP-20_5.3x7.2mm_P0.65mm,4,MAX31865AAP+TCT-ND,MAX31865AA,IC RTD TO DIGITAL CONVERT 20SSOP,
57,U8,PCA9532PW,TSSOP-24_4.4x7.8mm_P0.65mm,1,568-11909-1-ND,"PCA9532PW,118",IC LED DRIVER LIN 25MA 24TSSOP,
58,U5,PDSE1-S5-S9-S ,PDSE1-S,1,102-6292-ND,PDSE1-S5-S9-S,DC DC CONVERTER 9V 1W,
59,Y1,32.768kHz,ECS_34Q_2-SMD,1,XC2156CT-ND,ECS-.327-9-34QS-TR,,





Component Groups:,70
Component Count:,239
Fitted Components:,224
Number of PCBs:,1
Total components:,224
Schematic Version:,6.2
Schematic Date:,2021-08-04
PCB Variant:,[u'default']
BoM Date:,Thu 23 Sep 2021 11:29:57 AM PDT
Schematic Source:,PurpleDrop.sch
KiCad Version:,Eeschema 5.1.10-88a1d61d58~90~ubuntu20.04.1
